playerID,sport,teamName,year
jamesle01,basketball,LAL,2019-01-01
jamesle01,basketball,LAL,2021-01-01
leonaka01,basketball,LAC,2021-01-01
Ramon Hernandez,baseball,OAK,2001-01-01
Marquis Grissom,baseball,LAD,2001-01-01
Todd Zeile,baseball,NYM,2001-01-01
wardaa01,hockey,NYR,2007-01-01
troubja01,hockey,NYR,2021-01-01
blakeja01,hockey,LAK,2001-01-01
KuppCo00,football,LAR,2021-01-01
HerbJu00,football,LAC,2021-01-01
BechAn00,football,NYJ,2001-01-01
